14:05:59.804 Generated session secret
14:06:00.766 DB not initialized, please visit setup page - http://[your-server-host]:8080 to see instructions on how to initialize Trilium.
14:06:00.769 DB size: 4 KB
14:06:02.137 {
  "appVersion": "0.63.7",
  "dbVersion": 228,
  "nodeVersion": "v18.18.2",
  "syncVersion": 32,
  "buildDate": "2024-05-30T06:59:06+02:00",
  "buildRevision": "95d46b7ce7e0036eeb72b43e1815cc5c00dc214c",
  "dataDirectory": "/home/node/trilium-data",
  "clipperProtocolVersion": "1.0",
  "utcDateTime": "2026-06-05T14:06:00.400Z"
}
14:50:58.743 200 GET /api/health-check with 15 bytes took 2ms
14:51:28.997 200 GET /api/health-check with 15 bytes took 3ms
14:51:59.251 200 GET /api/health-check with 15 bytes took 4ms
14:52:29.493 200 GET /api/health-check with 15 bytes took 1ms
14:52:59.741 200 GET /api/health-check with 15 bytes took 2ms
14:53:30.026 200 GET /api/health-check with 15 bytes took 2ms
14:54:00.304 200 GET /api/health-check with 15 bytes took 1ms
14:54:30.574 200 GET /api/health-check with 15 bytes took 4ms
14:55:00.852 200 GET /api/health-check with 15 bytes took 3ms
14:55:31.183 200 GET /api/health-check with 15 bytes took 4ms
14:56:01.429 200 GET /api/health-check with 15 bytes took 2ms
14:56:31.647 200 GET /api/health-check with 15 bytes took 3ms
14:57:01.883 200 GET /api/health-check with 15 bytes took 2ms
14:57:32.122 200 GET /api/health-check with 15 bytes took 2ms
14:58:02.467 200 GET /api/health-check with 15 bytes took 3ms
14:58:32.727 200 GET /api/health-check with 15 bytes took 2ms
14:59:02.990 200 GET /api/health-check with 15 bytes took 2ms
14:59:33.267 200 GET /api/health-check with 15 bytes took 2ms
15:00:03.556 200 GET /api/health-check with 15 bytes took 1ms
15:00:33.821 200 GET /api/health-check with 15 bytes took 2ms
15:01:04.051 200 GET /api/health-check with 15 bytes took 3ms
15:01:34.301 200 GET /api/health-check with 15 bytes took 3ms
15:02:04.582 200 GET /api/health-check with 15 bytes took 1ms
15:02:34.844 200 GET /api/health-check with 15 bytes took 2ms
15:03:05.114 200 GET /api/health-check with 15 bytes took 3ms
